CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
52218382,10/11/2008,19:10:00,10/11/2008,19:15:00,28.0,10/13/2008,109,GRAND LARCENY,438.0,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,MANHATTAN,(null),CLOTHING/BOUTIQUE,N.Y. POLICE DEPT,0,(null),(null),(null),998555.0,234012.0,(null),(null),(null),,40.80897309,-73.94832523,"(40.80897309, -73.94832523)",PATROL BORO MAN NORTH,(null),45-64,BLACK,F
50074776,08/12/2008,23:45:00,08/12/2008,23:50:00,33.0,08/13/2008,118,DANGEROUS WEAPONS,793.0,WEAPONS POSSESSION 3,COMPLETED,FELONY,MANHATTAN,(null),TAXI (LIVERY LICENSED),N.Y. POLICE DEPT,0,(null),(null),(null),1001311.0,244556.0,(null),(null),(null),,40.83790848,-73.93834277,"(40.83790848, -73.93834277)",PATROL BORO MAN NORTH,(null),(null),UNKNOWN,E
53874929,11/07/2008,08:45:00,11/07/2008,09:05:00,73.0,11/07/2008,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1005780.0,182817.0,25-44,BLACK,F,,40.668443,-73.922387,"(40.668443, -73.922387)",PATROL BORO BKLYN NORTH,(null),25-44,WHITE HISPANIC,F
44854727,03/22/2008,15:10:00,,(null),30.0,03/25/2008,109,GRAND LARCENY,405.0,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,MANHATTAN,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,N.Y. POLICE DEPT,0,(null),(null),(null),998287.0,240957.0,(null),(null),(null),,40.828038,-73.949278,"(40.828038, -73.949278)",PATROL BORO MAN NORTH,(null),45-64,ASIAN / PACIFIC ISLANDER,F
46227230,04/30/2008,15:30:00,04/30/2008,15:40:00,50.0,05/05/2008,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1008685.0,259007.0,(null),UNKNOWN,F,,40.877555,-73.91164,"(40.877555, -73.91164)",PATROL BORO BRONX,(null),<18,BLACK HISPANIC,F
51849647,10/01/2008,19:50:00,,(null),44.0,10/01/2008,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1005495.0,241185.0,(null),(null),(null),,40.828648,-73.92323,"(40.828648, -73.92323)",PATROL BORO BRONX,(null),(null),UNKNOWN,E
50152543,08/15/2008,10:30:00,08/15/2008,10:44:00,40.0,08/15/2008,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1005990.0,233847.0,(null),(null),(null),,40.808506,-73.921466,"(40.808506, -73.921466)",PATROL BORO BRONX,(null),(null),UNKNOWN,E
50773706,08/21/2008,21:00:00,09/01/2008,21:00:00,33.0,09/01/2008,112,THEFT-FRAUD,739.0,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1001369.0,246916.0,25-44,WHITE,M,,40.844387,-73.938124,"(40.844387, -73.938124)",PATROL BORO MAN NORTH,(null),25-44,WHITE,F
45642218,04/05/2008,18:00:00,04/05/2008,19:00:00,46.0,04/11/2008,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1008647.0,250545.0,(null),BLACK,M,,40.85433,-73.911806,"(40.85433, -73.911806)",PATROL BORO BRONX,(null),45-64,BLACK,F
54280128,11/19/2008,13:30:00,11/19/2008,13:40:00,79.0,11/19/2008,341,PETIT LARCENY,339.0,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,BROOKLYN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),(null),998241.0,187165.0,(null),(null),(null),30.0,40.68039035,-73.94955696,"(40.68039035, -73.94955696)",PATROL BORO BKLYN NORTH,NOSTRAND AVENUE,(null),UNKNOWN,E
49238957,07/20/2008,01:30:00,07/20/2008,12:00:00,44.0,07/24/2008,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1008692.0,243109.0,25-44,WHITE HISPANIC,M,,40.83392,-73.911672,"(40.83392, -73.911672)",PATROL BORO BRONX,(null),25-44,WHITE HISPANIC,F
49219235,07/25/2008,22:00:00,07/25/2008,22:10:00,83.0,07/25/2008,344,ASSAULT 3 & RELATED OFFENSES,113.0,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1005152.0,195627.0,<18,WHITE HISPANIC,M,,40.703604,-73.924612,"(40.703604, -73.924612)",PATROL BORO BKLYN NORTH,(null),25-44,WHITE HISPANIC,F
51522141,09/20/2008,16:25:00,,(null),24.0,09/20/2008,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),696,993952.0,229422.0,(null),(null),(null),,40.796382,-73.964958,"(40.796382, -73.964958)",PATROL BORO MAN NORTH,(null),(null),UNKNOWN,M
41616499,03/03/2008,18:00:00,03/04/2008,16:30:00,44.0,03/04/2008,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BRONX,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1008562.0,242817.0,(null),(null),(null),,40.83311845,-73.91214449,"(40.83311845, -73.91214449)",PATROL BORO BRONX,(null),45-64,BLACK,F
45635361,04/13/2008,03:17:00,04/13/2008,03:22:00,61.0,04/13/2008,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1001266.0,152013.0,(null),(null),(null),,40.58390029,-73.93873929,"(40.58390029, -73.93873929)",PATROL BORO BKLYN SOUTH,(null),(null),UNKNOWN,E
47268265,06/05/2008,23:30:00,,(null),33.0,06/12/2008,105,ROBBERY,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1001063.0,245061.0,(null),UNKNOWN,M,,40.83929504,-73.93923775,"(40.83929504, -73.93923775)",PATROL BORO MAN NORTH,(null),18-24,WHITE HISPANIC,F
37514285,01/02/2008,11:00:00,,(null),88.0,01/05/2008,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),993123.0,188465.0,25-44,BLACK,M,,40.683966,-73.968007,"(40.683966, -73.968007)",PATROL BORO BKLYN NORTH,(null),25-44,BLACK,F
